Drug	Gene	Guideline	CPIC Level	ClinPGx Level of Evidence	PGx on FDA Label	CPIC Publications (PMID)
abacavir	HLA-B	https://www.clinpgx.org/guideline/PA166251444	A	1A	Testing Required	24561393,22378157
allopurinol	HLA-B	https://www.clinpgx.org/guideline/PA166251446	A	1A	Testing Recommended	23232549,26094938
amikacin	MT-RNR1	https://www.clinpgx.org/guideline/PA166251466	A	1A	Actionable PGx	34032273
amitriptyline	CYP2C19	https://www.clinpgx.org/guideline/PA166251445	A	1A		23486447,27997040
amitriptyline	CYP2D6	https://www.clinpgx.org/guideline/PA166251445	A	1A	Informative PGx	23486447,27997040
atazanavir	UGT1A1	https://www.clinpgx.org/guideline/PA166251453	A	1A		26417955
atomoxetine	CYP2D6	https://www.clinpgx.org/guideline/PA166251459	A	1A	Actionable PGx	30801677
atorvastatin	SLCO1B1	https://www.clinpgx.org/guideline/PA166264281	A	1A		35152405
azathioprine	NUDT15	https://www.clinpgx.org/guideline/PA166251442	A	1A	Testing Recommended	21270794,23422873,30447069,41618934
azathioprine	TPMT	https://www.clinpgx.org/guideline/PA166251442	A	1A	Testing Recommended	21270794,23422873,30447069,41618934
capecitabine	DPYD	https://www.clinpgx.org/guideline/PA166251462	A	1A	Testing Required	23988873,29152729
carbamazepine	HLA-A	https://www.clinpgx.org/guideline/PA166251448	A	1A	Actionable PGx	23695185,29392710
carbamazepine	HLA-B	https://www.clinpgx.org/guideline/PA166251448	A	1A	Testing Required	23695185,29392710
celecoxib	CYP2C9	https://www.clinpgx.org/guideline/PA166251464	A	1A	Actionable PGx	32189324
citalopram	CYP2C19	https://www.clinpgx.org/guideline/PA166251452	A	1A	Actionable PGx	25974703,37032427
clopidogrel	CYP2C19	https://www.clinpgx.org/guideline/PA166251443	A	1A	Actionable PGx	21716271,23698643,35034351
codeine	CYP2D6	https://www.clinpgx.org/guideline/PA166251454	A	1A	Actionable PGx	22205192,24458010,33387367
dapsone	G6PD	https://www.clinpgx.org/guideline/PA166251450	A	4	Actionable PGx	36049896
desflurane	CACNA1S	https://www.clinpgx.org/guideline/PA166251460	A	1A	Actionable PGx	30499100
desflurane	RYR1	https://www.clinpgx.org/guideline/PA166251460	A	1A	Actionable PGx	30499100
dibekacin	MT-RNR1	https://www.clinpgx.org/guideline/PA166251466	A			34032273
